hash;signature;tags
0013a2d85f81640d17e8980e7eceb3e27711f9f1d9b008e9fe64eddfd7e3e2c6;AgentTesla;32,AgentTesla,exe
001405ded84e227092bafe165117888d423719d7d75554025ec410d1d6558925;BuerLoader;BuerLoader,exe
0014072e15bf8f6f3c7394a5b35f141913b258bde9bec4414613706e80cabe7f;;exe
00142e46c997fe7051af5667953908cc876268be30d61cd985f6265514639251;;exe,IISpy
001432c76312f051520101ffc64f4efc57d8a2ef008c21805531aec6faad2f28;Tofsee;exe,Tofsee
00144e315a67190100f864353614854cfff08482986c5a1da6b1edbf9f6912d1;RedLineStealer;exe,RedLineStealer
00148406b4932bcd0c72ea80ea43b9928c781d346c4a6cd29b94e1cd268a1434;AveMariaRAT;AveMariaRAT,exe
001494be88645efe8ffb546bdf58b043c2dd1770091891d30c4fd317281a518a;SnakeKeylogger;exe,SnakeKeylogger
0014daeadce3a90746e84a3ddb7388be202598fba7dc67826550df3456e70941;TrickBot;exe,TrickBot
0014f6e9e9eaa3068dfc214f684b041f7bc50416835edf4f370bbaa541ad09de;Heodo;emotet,epoch3,exe,Heodo
0015bb398faf3d5bd6cce91271f01606686ea8cb73ae9c7f648dfff9d0091dfe;AgentTesla;AgentTesla,exe
0016273f9133c9e0b975a8d1464f6720fe9016883adb8e23559a495ef3c52472;SnakeKeylogger;exe,SnakeKeylogger
00165a5a0af9312110e3e579dc8e599f5da540a33f12f3e55b098653a8a4d043;;exe
001675222ff7d2737c791933a4e02d5dcf34a4e8b4f626f677facb0feef1b581;njrat;exe,njrat,RAT
0016755526279c5c404b670ecb2d81af46066d879c389924a6574ab9864b5c04;CryptBot;CryptBot,exe
00168316f03e50b7cf516c090729a168491ff2bf8f3538abc8f64489c86ebd8b;AgentTesla;AgentTesla,exe
0016d12f15f1d7f0f89dbcb14f724fc9d77a0d8df8ebbb49d0b9d8d62a4067ee;njrat;exe,njRat
0016d7e725a7387d3a3992bc27c13a9fe30fffe737808580619ec1e7b7237125;RedLineStealer;32,exe,RedLineStealer
0016df8b01cc2944d4628c254a595d333b2dcd9836b35dda44795e4724e35767;Heodo;Emotet,exe,Heodo,OpenCTI.BR,Sandboxed
001706c59174b47d3adb36f4d33ec09088af0f5899807e418a46d8747b07bab7;AgentTesla;AgentTesla,exe
001709cadc8a0a856d91b9e3c9c0753ac8469d3c6cf2f532fdd53aedb3a268d6;AgentTesla;AgentTesla,exe
00171458f825aea6bf5a8f606d0d1292445c17f2f4b1a78d2c819f0b5fe7fa46;AgentTesla;AgentTesla,exe
001732cc38b48fb352c1ca495e4bbe7009941271a54fe2f01e513dd18f10ff44;CoinMiner;CoinMiner,exe
00174652cb6423c2ab0160ebbaa0b5918daa97c297ca39526232cb06e60c7ad9;DBatLoader;DBatLoader,exe,ModiLoader,webdav
0017cc9e58298216af63de0f6bbb0a4a369d4b96a5dc52f6f25d47867a1ca346;RedLineStealer;exe,RedLineStealer
0017e2bb45469ea5f02edab017f77b7242c9a3330478c748e7e8380149ded601;PhoenixStealer;exe,PandaStealer,PhoenixStealer
0018299b30892d405f7e9bcab955a3ec9c5494b0ae42a003d805351b0e3bed99;Loki;exe,Loki
0018996fe46e255578c6efbef54ba7eab18282bd707c6bf5a626d87bd146121e;AgentTesla;AgentTesla,exe
0018a8706a83a0d14d43fb37b2489cf590f8379021eb46cd592ddfd192ef0592;Heodo;emotet,epoch1,exe,Heodo
00191a06c41efba700b65f8990080808db245f7177c1fbed33bee14d415c5ae9;;dll,exe
00191f0f996cdb343f7abff660816e33d6baf282a76dac4461be8edb9f8d7916;Amadey;Amadey,exe
001970c1e2e043a76cacb7b7e0e8e59294262820832b05df8f28e0dd925a45fb;AgentTesla;AgentTesla,exe
0019c17d6984597e77c958d3ca5c48a512e67afa783b2ad66b3a6f5513f09fcd;RedLineStealer;exe,RedLineStealer
0019f7ece285e0389994c37db5c6181302b8380004b69625db99637278265313;;32,exe
001a1c29a7757fc35a1bfc8638a0f2a4117d774658f7e58bea9b131572cb5e62;AgentTesla;AgentTesla,exe
001a2541de77dc468f7986948da56b03dad2f57c59b77142451bd4c9bef8f8d0;Formbook;32,exe,Formbook
001a5a474bbbd8f905626617e612861e7f1de5286b009960c0deefbf06508723;GCleaner;exe,GCleaner
001a91226798afb04d637d7b2fa3f43421ef9a2bd640bb48a735a5204f56d775;RemcosRAT;ESP,exe,geo,Outlook,RAT,RemcosRAT
001aa198dd220207cd3e53c7e8b081dd093beb969f099d0ce61cb0cd452c14b3;RedLineStealer;exe,RedLineStealer
001aa24cb1572cd1ec4a108eecba378d961b1e1410ea72180d97f54e41c379ac;Amadey;Amadey,exe
001ae890e1b80cd37b13080c823b9f52f8acaf173a99b3e6c5ab5126017e958d;Formbook;32,exe,Formbook
001af3efb9fa637cf4b597d86ec925a4283efb482417861aacabb46a848ec84d;FormBook;exe,FormBook
001b0972e0343ff4143abe8a9b394af2430e76478e4355f2d7d017560dc31966;;exe
001b09ececb8774d65d01bc2d0e8361072bae77ccaa7f309ed7fe57c8a8c1c28;RedLineStealer;exe,RedLineStealer
001bf57ded55236e2f1f0bbf7bf313b5397d955a9ce80009b2ac61b3f84e5544;Formbook;exe,Formbook
001bffcdd170c8328601006ad54a221d1073ba04fbdca556749cf1b041cfad97;RedLineStealer;exe,RedLineStealer
001c279ebd22809a7826920d19767d2c01b0b96c519e136ba70b0f95746ecf7e;njrat;exe,njrat,RAT
